,func_oldfunccode,func_newfunccode,func_newdoc,func_newJdoc,func_olddoc,func_oldJdoc,func_addlines,func_addcode,func_dellines,func_delcode,func_path,func_pathinproj,func_methodsig,doc_oldfunccode,doc_newfunccode,doc_newdoc,doc_newJdoc,doc_olddoc,doc_oldJdoc,doc_addlines,doc_addcode,doc_dellines,doc_delcode,doc_path,doc_pathinproj,doc_methodsig,id,flag,commit
1,f206690a68af12667fea42eb6df515c98dedf575/Codes_neg/Match_oldfunccode_f206690a68af12667fea42eb6df515c98dedf575_1.txt,,,,,f206690a68af12667fea42eb6df515c98dedf575/Codes_neg/Match_oldfuncoldJdoc_f206690a68af12667fea42eb6df515c98dedf575_1.txt,[],[],[625],"['    void setNextExpirable(ReferenceEntry<K, V> next);\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/f206690a68af12667fea42eb6df515c98dedf575/MapMakerInternalMap,guava/src/com/google/common/collect/MapMakerInternalMap.java," void setNextExpirable(ReferenceEntry<K, V> next)",f206690a68af12667fea42eb6df515c98dedf575/Codes_neg/Match_olddocfunccode_f206690a68af12667fea42eb6df515c98dedf575_1.txt,f206690a68af12667fea42eb6df515c98dedf575/Codes_neg/Match_newdocfunccode_f206690a68af12667fea42eb6df515c98dedf575_1.txt,,f206690a68af12667fea42eb6df515c98dedf575/Codes_neg/Match_newdocnewJdoc_f206690a68af12667fea42eb6df515c98dedf575_1.txt,,f206690a68af12667fea42eb6df515c98dedf575/Codes_neg/Match_olddocJdoc_f206690a68af12667fea42eb6df515c98dedf575_1.txt,[],[],"[2834, 2835]","['    void setNextExpirable(ReferenceEntry<K, V> next);\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/f206690a68af12667fea42eb6df515c98dedf575/MapMakerInternalMap,guava/src/com/google/common/collect/MapMakerInternalMap.java, void preWriteCleanup(),1,1,f206690a68af12667fea42eb6df515c98dedf575
2,e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_oldfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt,e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt," SIZE trumps EXPIRED
",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newfuncnewJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt," To be supported
 SIZE trumps EXPIRED
",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_oldfuncoldJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt,[434],['  @GwtIncompatible\n'],[439],['  @Deprecated\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/e31ea8307811fc8e82503fd901d55c7535c3e125/MapMaker,guava/src/com/google/common/collect/MapMaker.java," MapMaker expireAfterAccess(long duration, TimeUnit unit)",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_olddocfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt,e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newdocfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt," SIZE trumps EXPIRED
",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newdocnewJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt," SIZE trumps EXPIRED
",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_olddocJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_1.txt,"[193, 194]","['   * {@code (0, unit)}. It can be useful in testing, or to disable caching temporarily without\n', '   * a code change.\n']","[193, 194]",['  @Deprecated\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/e31ea8307811fc8e82503fd901d55c7535c3e125/MapMaker,guava/src/com/google/common/collect/MapMaker.java, MapMaker maximumSize(int size),1,1,e31ea8307811fc8e82503fd901d55c7535c3e125
3,e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_oldfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt,e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt,,e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newfuncnewJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt," To be supported
",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_oldfuncoldJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt,[119],['  @GwtIncompatible\n'],[],[],/home/pritish/Documents/IP work/guv_ver/v21.0/e31ea8307811fc8e82503fd901d55c7535c3e125/GenericMapMaker,guava/src/com/google/common/collect/GenericMapMaker.java," abstract GenericMapMaker<K0, V0> expireAfterAccess(long duration, TimeUnit unit)",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_olddocfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt,e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newdocfunccode_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt," SIZE trumps EXPIRED
 SIZE trumps EXPIRED
",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_newdocnewJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt," SIZE trumps EXPIRED
 SIZE trumps EXPIRED
",e31ea8307811fc8e82503fd901d55c7535c3e125/Codes_neg/Match_olddocJdoc_e31ea8307811fc8e82503fd901d55c7535c3e125_2.txt,"[193, 194]","['   * {@code (0, unit)}. It can be useful in testing, or to disable caching temporarily without\n', '   * a code change.\n']","[193, 194]",[],/home/pritish/Documents/IP work/guv_ver/v21.0/e31ea8307811fc8e82503fd901d55c7535c3e125/MapMaker,guava/src/com/google/common/collect/MapMaker.java, MapMaker maximumSize(int size),1,1,e31ea8307811fc8e82503fd901d55c7535c3e125
4,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_oldfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt," TODO(kevinb): remove this
",267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newfuncnewJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt,,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_oldfuncoldJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt,[],[],[64],['  @CanIgnoreReturnValue\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/267fac11a42ad56158ff9f6158a0a8a36223ed86/Function,guava/src/com/google/common/base/Function.java, T apply(@Nullable F input),267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_olddocfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newdocfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt,,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newdocnewJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt,,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_olddocJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_1.txt,"[164, 165, 166]","['   * <p><b>Java 8 users:</b> you can just write the lambda expression {@code k ->\n', '   * map.getWithDefault(k, defaultValue)} instead.\n', '   *\n']",[],['  @CanIgnoreReturnValue\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/267fac11a42ad56158ff9f6158a0a8a36223ed86/Functions,guava/src/com/google/common/base/Functions.java,"public static Function<K, V> forMap(Map<K, ? extends V> map, @Nullable V defaultValue)",1,1,267fac11a42ad56158ff9f6158a0a8a36223ed86
5,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_oldfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt," TODO(kevinb): remove this
 TODO(kevinb): remove this
",267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newfuncnewJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt,,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_oldfuncoldJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt,[],[],[64],['  @CanIgnoreReturnValue\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/267fac11a42ad56158ff9f6158a0a8a36223ed86/Function,guava/src/com/google/common/base/Function.java, T apply(@Nullable F input),267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_olddocfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newdocfunccode_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt,,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_newdocnewJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt,,267fac11a42ad56158ff9f6158a0a8a36223ed86/Codes_neg/Match_olddocJdoc_267fac11a42ad56158ff9f6158a0a8a36223ed86_2.txt,"[315, 316, 317]","['   * Returns a function that ignores its input and always returns {@code value}.\n', '   *\n', '   * <p><b>Java 8 users:</b> use the lambda expression {@code o -> value} instead.\n']",[301],['  @CanIgnoreReturnValue\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/267fac11a42ad56158ff9f6158a0a8a36223ed86/Functions,guava/src/com/google/common/base/Functions.java,"public static Function<Object, E> constant(@Nullable E value)",1,1,267fac11a42ad56158ff9f6158a0a8a36223ed86
6,c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Codes_neg/Match_oldfunccode_c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85_1.txt,c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Codes_neg/Match_newfunccode_c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85_1.txt,"
     * We'd normally use ServiceLoader here, but it hurts Android startup performance. To avoid
     * that, we hardcode the JDK Pattern compiler on Android (and, inadvertently, on App Engine and
     * in Guava, at least for now).
     
",," Returns the first PatternCompiler that loads successfully.
 from hasNext()
 Fall back to the JDK regex library.
",,[],[],"[80, 81, 82, 83, 85, 86, 74, 76, 77, 78, 79]","['    ServiceLoader<PatternCompiler> loader = ServiceLoader.load(PatternCompiler.class);\n', '    try {\n', '      for (Iterator<PatternCompiler> it = loader.iterator(); it.hasNext();) {\n', '        try {\n', '          return it.next();\n', '        } catch (ServiceConfigurationError e) {\n', '          logPatternCompilerError(e);\n', '        }\n', '      }\n', '      logPatternCompilerError(e);\n', '    }\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Platform,guava/src/com/google/common/base/Platform.java,private static PatternCompiler loadPatternCompiler(),c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Codes_neg/Match_olddocfunccode_c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85_1.txt,c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Codes_neg/Match_newdocfunccode_c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85_1.txt," In this case, just dumping the collection to an array and sorting is
 faster than using the implementation for Iterator, which is
 specialized for k much smaller than n.
 c only contains E's and doesn't escape
",c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Codes_neg/Match_newdocnewJdoc_c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85_1.txt," In this case, just dumping the collection to an array and sorting is
 faster than using the implementation for Iterator, which is
 specialized for k much smaller than n.
 c only contains E's and doesn't escape
",c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Codes_neg/Match_olddocJdoc_c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85_1.txt,"[727, 728]","['   * <p><b>Java 8 users:</b> Continue to use this method for now. After the next release of Guava,\n', '   * use {@code Streams.stream(iterable).collect(Comparators.least(k, thisComparator))} instead.\n']","[727, 728]","['    ServiceLoader<PatternCompiler> loader = ServiceLoader.load(PatternCompiler.class);\n', '    try {\n', '      for (Iterator<PatternCompiler> it = loader.iterator(); it.hasNext();) {\n', '        try {\n', '          return it.next();\n', '        } catch (ServiceConfigurationError e) {\n', '          logPatternCompilerError(e);\n', '        }\n', '      }\n', '      logPatternCompilerError(e);\n', '    }\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85/Ordering,guava/src/com/google/common/collect/Ordering.java,"public List<E> leastOf(Iterable<E> iterable, int k)",1,1,c27c6732c9b690f1ae6c8f3fa53e23cebcbc8c85
7,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_oldfunccode_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_1.txt,,,,,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_oldfuncoldJdoc_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_1.txt,[],[],"[56, 57]","['  @CanIgnoreReturnValue\n', '  boolean addEdge(E edge, Iterable<N> nodes);\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Hypergraph,guava/src/com/google/common/graph/Hypergraph.java," boolean addEdge(E edge, Iterable<N> nodes)",f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_olddocfunccode_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_1.txt,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_newdocfunccode_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_1.txt,,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_newdocnewJdoc_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_1.txt,,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_olddocJdoc_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_1.txt,[274],['   * generally edges are not considered to be self-adjacent.\n'],[275],"['  @CanIgnoreReturnValue\n', '  boolean addEdge(E edge, Iterable<N> nodes);\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Network,guava/src/com/google/common/graph/Network.java, Set<E> adjacentEdges(Object edge),1,1,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5
8,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_oldfunccode_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_2.txt,,,,,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_oldfuncoldJdoc_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_2.txt,[],[],"[48, 47]","['  @CanIgnoreReturnValue\n', '  boolean addEdge(E edge, N... nodes);\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Hypergraph,guava/src/com/google/common/graph/Hypergraph.java," boolean addEdge(E edge, N... nodes)",f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_olddocfunccode_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_2.txt,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_newdocfunccode_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_2.txt,,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_newdocnewJdoc_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_2.txt,,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/Codes_neg/Match_olddocJdoc_f159e3fc4d9dec1beea0cc39cd887250e6ea36b5_2.txt,"[66, 70]","['   * All edges incident to {@code node} in this graph will also be removed.\n', '   * All edges incident to {@code node} in this graph will also be removed.\n']","[66, 67, 70, 71]","['  @CanIgnoreReturnValue\n', '  boolean addEdge(E edge, N... nodes);\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/f159e3fc4d9dec1beea0cc39cd887250e6ea36b5/MutableGraph,guava/src/com/google/common/graph/MutableGraph.java, boolean removeNode(Object node),1,1,f159e3fc4d9dec1beea0cc39cd887250e6ea36b5
9,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_oldfunccode_018ed188c7066fc16a5242759bb352ce2271549e_1.txt,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_newfunccode_018ed188c7066fc16a5242759bb352ce2271549e_1.txt,,,,,"[55, 56]","['  @Override\n', '  public final <A extends Annotation> A getAnnotation(Class<A> annotationClass) {\n']",[56],['  @Override public final <A extends Annotation> A getAnnotation(Class<A> annotationClass) {\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/018ed188c7066fc16a5242759bb352ce2271549e/Element,guava/src/com/google/common/reflect/Element.java,public final A getAnnotation(Class<A> annotationClass),018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_olddocfunccode_018ed188c7066fc16a5242759bb352ce2271549e_1.txt,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_newdocfunccode_018ed188c7066fc16a5242759bb352ce2271549e_1.txt,,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_newdocnewJdoc_018ed188c7066fc16a5242759bb352ce2271549e_1.txt,,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_olddocJdoc_018ed188c7066fc16a5242759bb352ce2271549e_1.txt,"[432, 433, 431]","['   * according to\n', '   * <a href=""http://docs.oracle.com/javase/specs/jls/se8/html/jls-4.html#jls-4.5.1"">the rules for\n', '   * type arguments</a> introduced with Java generics.\n']","[420, 421]",['  @Override public final <A extends Annotation> A getAnnotation(Class<A> annotationClass) {\n'],/home/pritish/Documents/IP work/guv_ver/v21.0/018ed188c7066fc16a5242759bb352ce2271549e/TypeToken,guava/src/com/google/common/reflect/TypeToken.java,public final boolean isSupertypeOf(Type type),1,1,018ed188c7066fc16a5242759bb352ce2271549e
10,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_oldfunccode_018ed188c7066fc16a5242759bb352ce2271549e_2.txt,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_newfunccode_018ed188c7066fc16a5242759bb352ce2271549e_2.txt,,,,,"[464, 463]","['    @Override\n', '    protected void scanJarFile(ClassLoader classloader, JarFile file) {\n']",[458],"['    @Override protected void scanJarFile(ClassLoader classloader, JarFile file) {\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/018ed188c7066fc16a5242759bb352ce2271549e/ClassPath,guava/src/com/google/common/reflect/ClassPath.java,"protected void scanJarFile(ClassLoader classloader, JarFile file)",018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_olddocfunccode_018ed188c7066fc16a5242759bb352ce2271549e_2.txt,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_newdocfunccode_018ed188c7066fc16a5242759bb352ce2271549e_2.txt,,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_newdocnewJdoc_018ed188c7066fc16a5242759bb352ce2271549e_2.txt,,018ed188c7066fc16a5242759bb352ce2271549e/Codes_neg/Match_olddocJdoc_018ed188c7066fc16a5242759bb352ce2271549e_2.txt,"[419, 420, 421]","['   * according to\n', '   * <a href=""http://docs.oracle.com/javase/specs/jls/se8/html/jls-4.html#jls-4.5.1"">the rules for\n', '   * type arguments</a> introduced with Java generics.\n']","[409, 410]","['    @Override protected void scanJarFile(ClassLoader classloader, JarFile file) {\n']",/home/pritish/Documents/IP work/guv_ver/v21.0/018ed188c7066fc16a5242759bb352ce2271549e/TypeToken,guava/src/com/google/common/reflect/TypeToken.java,public final boolean isSupertypeOf(TypeToken<?> type),1,1,018ed188c7066fc16a5242759bb352ce2271549e
